Sr. no.,Product Name,Price,Discount,MRP,Rating,Average Star,Product_Link,Website,Product Image Link
0,"Tata 1mg Women's Multivitamin Veg Tablet with Zinc, Vitamin C, Calcium, Vitamin D and Iron, Support Immunity, Bones & Overall Health",₹433,56% off,₹995,1302 ratings,4.3,https://www.1mg.com/otc/tata-1mg-women-s-multivitamin-veg-tablet-with-zinc-vitamin-c-calcium-vitamin-d-and-iron-support-immunity-bones-overall-health-otc555721,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/qh1au45w8u7cfvf3lg3i/tata-1mg-women-s-multivitamin-veg-tablet-with-zinc-vitamin-c-calcium-vitamin-d-and-iron-support-immunity-bones-overall-health.jpg"
1,"Tata 1mg Multivitamin Supreme, Zinc, Calcium and Vitamin D Capsule for Immunity, Energy, Overall Health",₹423,57% off,₹995,1277 ratings,4.2,https://www.1mg.com/otc/tata-1mg-multivitamin-supreme-zinc-calcium-and-vitamin-d-capsule-for-immunity-energy-overall-health-otc503409,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/gmkrpf1imjj9djwvq4gq/tata-1mg-multivitamin-supreme-zinc-calcium-and-vitamin-d-capsule-for-immunity-energy-overall-health.jpg"
2,Dr. Morepen Multi Vitamin Women with Calcium & Herbal Extracts Tablet,₹549,45% off,₹999,36 ratings,4.5,https://www.1mg.com/otc/dr.-morepen-multi-vitamin-women-with-calcium-herbal-extracts-tablet-otc677339,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/xbehlueqxkselnxfeupr/dr.-morepen-multi-vitamin-women-with-calcium-herbal-extracts-tablet.jpg"
3,Zingavita Multi Vitamins with Probiotics & Prebiotics Tablet,₹299,40% off,₹499,27 ratings,4.1,https://www.1mg.com/otc/zingavita-multi-vitamins-with-probiotics-prebiotics-tablet-otc682097,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/lnp1of3i2xo1c8tmwfyk/zingavita-multi-vitamins-with-probiotics-prebiotics-tablet.jpg"
4,Revital H Woman Tablet,₹305,15% off,₹360,2081 ratings,4.5,https://www.1mg.com/otc/revital-h-woman-tablet-otc325631,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/xqljyyelnecasglguvf6/revital-h-woman-tablet.jpg"
5,"HealthKart HK Vitals Multivitamin Multimineral, Amino Acids ,Taurine & Ginseng Extract Tablet",₹549,42% off,₹950,222 ratings,4.3,https://www.1mg.com/otc/healthkart-hk-vitals-multivitamin-multimineral-amino-acids-taurine-ginseng-extract-tablet-otc353048,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/grcvrktohcvunrfvytzd/healthkart-hk-vitals-multivitamin-multimineral-amino-acids-taurine-ginseng-extract-tablet.jpg"
6,Centrum Adult 50+ | Supports Overall Health | World's No.1 Multivitamin,₹740,NA,P₹740,28 ratings,4.7,https://www.1mg.com/otc/centrum-adult-50-supports-overall-health-world-s-no.1-multivitamin-otc772903,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/68a7c0c170d947ed9ba5192a014bd3dd/centrum-adult-50-supports-overall-health-world-s-no.1-multivitamin.jpg"
7,"Dr. Morepen Multi Vitamin Men with Omega 3 & Herbs, Natural Energy & Immunity Booster Tablet",₹450,55% off,₹999,62 ratings,4.2,https://www.1mg.com/otc/dr.-morepen-multi-vitamin-men-with-omega-3-herbs-natural-energy-immunity-booster-tablet-otc677334,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/aywb3kusfcv1tnyyt8qy/dr.-morepen-multi-vitamin-men-with-omega-3-herbs-natural-energy-immunity-booster-tablet.jpg"
8,Wellman Health Supplement for Men Tablet,₹372,15% off,₹438,214 ratings,4.3,https://www.1mg.com/otc/wellman-health-supplement-for-men-tablet-otc126872,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/ae560213db9c4b2497f82c127957a47d/wellman-health-supplement-for-men-tablet.jpg"
9,HealthKart HK Vitals Multivitamin Women Tablet,₹541,46% off,₹999,90 ratings,4.3,https://www.1mg.com/otc/healthkart-hk-vitals-multivitamin-women-tablet-otc632513,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/pypjoepvlpoyoty22hi6/healthkart-hk-vitals-multivitamin-women-tablet.jpg"
