Sr. No.,Product Name,Price,Discount,MRP,Rating,Average Star,Product_Link,Website,Product Image Link
0,Tata 1mg Salmon Omega 3 Fish Oil Capsule,417.9,58% off,995,1578 ratings,4.4,https://www.1mg.com/otc/tata-1mg-salmon-omega-3-fish-oil-capsule-otc503411,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/0fa72f2c-072d-4c6a-bc52-446edab403a4/tata-1mg-salmon-omega-3-fish-oil-capsule.jpeg"
1,"Tata 1mg Women's Multivitamin Veg Tablet with Zinc, Vitamin C, Calcium, Vitamin D and Iron, Support Immunity, Bones & Overall Health",432.82,56% off,995,1305 ratings,4.3,https://www.1mg.com/otc/tata-1mg-women-s-multivitamin-veg-tablet-with-zinc-vitamin-c-calcium-vitamin-d-and-iron-support-immunity-bones-overall-health-otc555721,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/qh1au45w8u7cfvf3lg3i/tata-1mg-women-s-multivitamin-veg-tablet-with-zinc-vitamin-c-calcium-vitamin-d-and-iron-support-immunity-bones-overall-health.jpg"
2,"Tata 1mg Calcium + Vitamin D3, Zinc, Magnesium and Alfalfa Tablet, Joint Support, Bones Health, Immunity & Energy Support",276.68,53% off,595,2528 ratings,4.3,https://www.1mg.com/otc/tata-1mg-calcium-vitamin-d3-zinc-magnesium-and-alfalfa-tablet-joint-support-bones-health-immunity-energy-support-otc536094,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/gc3u9gfc331wtsipnljl/tata-1mg-calcium-vitamin-d3-zinc-magnesium-and-alfalfa-tablet-joint-support-bones-health-immunity-energy-support.jpg"
3,"Tata 1mg Multivitamin Supreme, Zinc, Calcium and Vitamin D Capsule for Immunity, Energy, Overall Health",422.88,57% off,995,1282 ratings,4.2,https://www.1mg.com/otc/tata-1mg-multivitamin-supreme-zinc-calcium-and-vitamin-d-capsule-for-immunity-energy-overall-health-otc503409,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/gmkrpf1imjj9djwvq4gq/tata-1mg-multivitamin-supreme-zinc-calcium-and-vitamin-d-capsule-for-immunity-energy-overall-health.jpg"
4,"1mg Sports Multivitamin Energy & Immunity Booster Zinc, Vitamin C, Vitamin D, Calcium and Iron Tablet",585.55,51% off,1195,118 ratings,4,https://www.1mg.com/otc/1mg-sports-multivitamin-energy-immunity-booster-zinc-vitamin-c-vitamin-d-calcium-and-iron-tablet-otc555751,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/cropped/vjqcbttlwfq8np41ag3c/1mg-sports-multivitamin-energy-immunity-booster-zinc-vitamin-c-vitamin-d-calcium-and-iron-tablet.png"
5,"Tata 1mg Hair, Skin & Nails Supreme Biotin Capsule with Collagen, Zinc, Iron and Vitamin B",361.4,48% off,695,607 ratings,4,https://www.1mg.com/otc/tata-1mg-hair-skin-nails-supreme-biotin-capsule-with-collagen-zinc-iron-and-vitamin-b-otc503408,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/73c2b656962348769f7f93a72090dcaa/tata-1mg-hair-skin-nails-supreme-biotin-capsule-with-collagen-zinc-iron-and-vitamin-b.jpg"
6,"Tata 1mg Senior 50+ Multivitamin & Multimineral Veg Tablet with Zinc, Vitamin C, Calcium and Vitamin D, Supports Immunity, Strength & Overall Health",389.32,56% off,895,785 ratings,4.4,https://www.1mg.com/otc/tata-1mg-senior-50-multivitamin-multimineral-veg-tablet-with-zinc-vitamin-c-calcium-and-vitamin-d-supports-immunity-strength-overall-health-otc555713,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/klpj2khvaphkvpqmchui/tata-1mg-senior-50-multivitamin-multimineral-veg-tablet-with-zinc-vitamin-c-calcium-and-vitamin-d-supports-immunity-strength-overall-health.jpg"
7,"Tata 1mg Milk Thistle Veg Capsule for Liver Detox, 70% Silymarin with Dandelion & Ginger, Supports Liver Detox & Prevents Fatty Liver",414.05,51% off,845,411 ratings,4.3,https://www.1mg.com/otc/tata-1mg-milk-thistle-veg-capsule-for-liver-detox-70-silymarin-with-dandelion-ginger-supports-liver-detox-prevents-fatty-liver-otc547345,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/2b1dea512d474ab48100f1969cb9f6e8/tata-1mg-milk-thistle-veg-capsule-for-liver-detox-70-silymarin-with-dandelion-ginger-supports-liver-detox-prevents-fatty-liver.jpg"
8,"Tata 1mg Calcium + Vitamin D3, Zinc, Magnesium and Alfalfa Tablet, Joint Support, Bones Health, Immunity & Energy Support",160.88,50% off,325,2528 ratings,4.3,https://www.1mg.com/otc/tata-1mg-calcium-vitamin-d3-zinc-magnesium-and-alfalfa-tablet-joint-support-bones-health-immunity-energy-support-otc623696,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/ya4kfie8ddiryoh4soff/tata-1mg-calcium-vitamin-d3-zinc-magnesium-and-alfalfa-tablet-joint-support-bones-health-immunity-energy-support.jpg"
9,"Tata 1mg Glucosamine HCL 1500 mg Tablet for Joint Health with Boswellia Serrata, Collagen Peptide, L-Arginine, Supports in Building Cartilage, Relieves Pain & Inflammation in Joints",457.7,54% off,995,558 ratings,4.2,https://www.1mg.com/otc/tata-1mg-glucosamine-hcl-1500-mg-tablet-for-joint-health-with-boswellia-serrata-collagen-peptide-l-arginine-supports-in-building-cartilage-relieves-pain-inflammation-in-joints-otc535187,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/c2da7f19ab63463c8d3a99dd29365795/tata-1mg-glucosamine-hcl-1500-mg-tablet-for-joint-health-with-boswellia-serrata-collagen-peptide-l-arginine-supports-in-building-cartilage-relieves-pain-inflammation-in-joints.jpg"
10,"Tata 1mg Women's Multivitamin Veg Tablet with Zinc, Vitamin C, Calcium, Vitamin D and Iron, Support Immunity, Bones & Overall Health",237.15,53% off,510,1305 ratings,4.3,https://www.1mg.com/otc/tata-1mg-women-s-multivitamin-veg-tablet-with-zinc-vitamin-c-calcium-vitamin-d-and-iron-support-immunity-bones-overall-health-otc695704,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/jv4fjubstbcvlqyimatv/tata-1mg-women-s-multivitamin-veg-tablet-with-zinc-vitamin-c-calcium-vitamin-d-and-iron-support-immunity-bones-overall-health.jpg"
11,Tata 1mg Salmon Omega 3 Fish Oil Capsule,259.88,50% off,525,366 ratings,4.3,https://www.1mg.com/otc/tata-1mg-salmon-omega-3-fish-oil-capsule-otc607232,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/l9s8qarhozwnkx6hg39h/tata-1mg-salmon-omega-3-fish-oil-capsule.jpg"
12,Tata 1mg Melatonin 10mg Vegetarian Capsule for Calm & Restful Sleep,239.7,53% off,510,241 ratings,4,https://www.1mg.com/otc/tata-1mg-melatonin-10mg-vegetarian-capsule-for-calm-restful-sleep-otc710972,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/seug8lsqoerrf3hv4pmh/tata-1mg-melatonin-10mg-vegetarian-capsule-for-calm-restful-sleep.jpg"
13,"Tata 1mg Brain Formula with Vitamin B Complex, L-Tyrosine, L-Theanine, Brahmi, Ginkgo and Pine Bark Extract Capsule",363.18,63% off,995,129 ratings,4.2,https://www.1mg.com/otc/tata-1mg-brain-formula-with-vitamin-b-complex-l-tyrosine-l-theanine-brahmi-ginkgo-and-pine-bark-extract-capsule-otc648242,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/ojksplnabfyahrm6p0kb/tata-1mg-brain-formula-with-vitamin-b-complex-l-tyrosine-l-theanine-brahmi-ginkgo-and-pine-bark-extract-capsule.jpg"
14,"Tata 1mg Glucosamine HCL 1500 mg Tablet for Joint Health with Boswellia Serrata, Collagen Peptide, L-Arginine, Supports in Building Cartilage, Relieves Pain & Inflammation in Joints",230.05,57% off,535,558 ratings,4.2,https://www.1mg.com/otc/tata-1mg-glucosamine-hcl-1500-mg-tablet-for-joint-health-with-boswellia-serrata-collagen-peptide-l-arginine-supports-in-building-cartilage-relieves-pain-inflammation-in-joints-otc623697,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/mkiyuzyov7kliuvl28sr/tata-1mg-glucosamine-hcl-1500-mg-tablet-for-joint-health-with-boswellia-serrata-collagen-peptide-l-arginine-supports-in-building-cartilage-relieves-pain-inflammation-in-joints.jpg"
15,1mg Turmeric Curcumin 95% with Piperine Capsule,263.25,61% off,675,177 ratings,4.4,https://www.1mg.com/otc/1mg-turmeric-curcumin-95-with-piperine-capsule-otc603942,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/iyfn5hupleaimrrggwla/1mg-turmeric-curcumin-95-with-piperine-capsule.jpg"
16,1mg Super Antioxidant Multiminerals with Betacarotene Capsule,173.25,65% off,495,128 ratings,4.1,https://www.1mg.com/otc/1mg-super-antioxidant-multiminerals-with-betacarotene-capsule-otc628380,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/c5ae6c9d8a6d44fa829eb1edebf193b2/1mg-super-antioxidant-multiminerals-with-betacarotene-capsule.jpg"
17,"Tata 1mg Hair, Skin & Nails Supreme Biotin Capsule with Collagen, Zinc, Iron and Vitamin B",225.5,40% off,375,607 ratings,4,https://www.1mg.com/otc/tata-1mg-hair-skin-nails-supreme-biotin-capsule-with-collagen-zinc-iron-and-vitamin-b-otc640158,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/a3e2a6559715472abd885f338d9acd8b/tata-1mg-hair-skin-nails-supreme-biotin-capsule-with-collagen-zinc-iron-and-vitamin-b.jpg"
