Sr. no.,Product Name,Price,Discount,MRP,Rating,Average Star,Product_Link,Product Image Link,Website
0,"HealthKart HK Vitals Multivitamin for Men and Women, 60 Multivitamin Tablets, with Zinc, Vitamin C, Vitamin D3, Multiminerals and Ginseng Extract, Enhances Energy, Stamina & Immunity",425,35% off,₹650,"11,062 ratings",4.2,https://www.amazon.in/HealthKart-Multivitamin-Ginseng-Extract-Vegetarian/dp/B01LLLUCAY/ref=sr_1_5?crid=Y49REFIWQ1II&keywords=multivitamin+best+seller&qid=1672390347&sprefix=multivitamin+best%2Caps%2C343&sr=8-5,https://m.media-amazon.com/images/I/51vRHIuIG5L._AC_UL320_.jpg,Amazon
1,Herbalife Formula 2 Multivitamin Mineral and Herbal Tablet - 90 Tablets,"1,199",43% off,"₹2,091","1,069 ratings",4,https://www.amazon.in/Herbalife-Formula-Multivitamin-Mineral-Herbal/dp/B01G3RU2N8/ref=sr_1_6_mod_primary_new?crid=Y49REFIWQ1II&keywords=multivitamin+best+seller&qid=1672390347&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=multivitamin+best%2Caps%2C343&sr=8-6,https://m.media-amazon.com/images/I/51+kX3njWdL._AC_UL320_.jpg,Amazon
2,"WOW Life Science Multivitamin for Women - Veg Capsules 60 Count - with Vitamin A, Lutein & Lycopene",499,29% off,₹699,535 ratings,4.2,https://www.amazon.in/WOW-Life-Science-Multivitamin-Women/dp/B08DLF6MZY/ref=sr_1_7?crid=Y49REFIWQ1II&keywords=multivitamin+best+seller&qid=1672390347&sprefix=multivitamin+best%2Caps%2C343&sr=8-7,https://m.media-amazon.com/images/I/61XCEuQIdQL._AC_UL320_.jpg,Amazon
3,"Carbamide Forte Plant Based Multivitamin Tablets for Men & Women for Immunity, Energy & Detox with Ingredients like Superfoods, Greens, Vegetables, Fruits & Herbs Supplement- 60 Veg Tablets",499,26% off,₹675,617 ratings,4.2,https://www.amazon.in/Carbamide-Forte-Multivitamin-Ingredients-Superfoods/dp/B08H5PBLC2/ref=sr_1_8?crid=Y49REFIWQ1II&keywords=multivitamin+best+seller&qid=1672390347&sprefix=multivitamin+best%2Caps%2C343&sr=8-8,https://m.media-amazon.com/images/I/81rHUQGeYPL._AC_UL320_.jpg,Amazon
4,"Nutrazee Multivitamin Gummies for Kids, Teenagers, Men, Women & Adults With Essential Vitamins For Healthy Growth, Development & Immunity, 45 Gummy Bears Supplement",645,15% off,₹755,"1,454 ratings",4.3,https://www.amazon.in/Nutrazee-Multivitamin-Vegetarian-Teenagers-Essential/dp/B07B4FYGYB/ref=sr_1_9?crid=Y49REFIWQ1II&keywords=multivitamin+best+seller&qid=1672390347&sprefix=multivitamin+best%2Caps%2C343&sr=8-9,https://m.media-amazon.com/images/I/71-sv+HpjzL._AC_UL320_.jpg,Amazon
5,"Healthvit Cenvitan Multivitamin for Men - 60 tablets with 24 Nutrients (Vitamins and Minerals) | for Energy, Stamina & Recovery",309,38% off,₹500,"3,452 ratings",4.1,https://www.amazon.in/Healthvit-Cenvitan-Men-Multivitamin-Multimineral/dp/B07BFS7XBX/ref=sr_1_10?crid=Y49REFIWQ1II&keywords=multivitamin+best+seller&qid=1672390347&sprefix=multivitamin+best%2Caps%2C343&sr=8-10,https://m.media-amazon.com/images/I/716YYCw-MzL._AC_UL320_.jpg,Amazon
6,"MuscleBlaze MB-Vite Daily Multivitamin with 51 Ingredients and 6 Essential Blends, 100% RDA of Immunity Boosters, for Enhanced Energy, Strength & Recovery, 30 Multivitamin Tablets",329,13% off,₹379,"11,849 ratings",4.1,https://www.amazon.in/MuscleBlaze-Multivitamin-Ingredients-Essential-Immunity/dp/B09FXMXH3S/ref=sr_1_11?crid=Y49REFIWQ1II&keywords=multivitamin+best+seller&qid=1672390347&sprefix=multivitamin+best%2Caps%2C343&sr=8-11,https://m.media-amazon.com/images/I/71kM7R2HGuL._AC_UL320_.jpg,Amazon
7,Carbamide Forte Multivitamin Tablets for Women with 43 Ingredients -60 Veg Tablets,349,39% off,₹575,832 ratings,4,https://www.amazon.in/Carbamide-Forte-Multivitamins-Ingredients-Probiotics/dp/B081H6QQHY/ref=sr_1_12?crid=Y49REFIWQ1II&keywords=multivitamin+best+seller&qid=1672390347&sprefix=multivitamin+best%2Caps%2C343&sr=8-12,https://m.media-amazon.com/images/I/71Ps3NAR65L._AC_UL320_.jpg,Amazon
8,"Zingavita Multivitamin Tablets for Women (120 Count) | With 45+ Vitamins, Calcium, Iron & Herbal Extracts for Hair, Skin, Stamina, Immunity & PMS Support | Gluten Free Vegetarian Multivitamin Tablet",420,53% off,₹899,85 ratings,3.9,https://www.amazon.in/Zingavita-Multivitamin-Women-Vitamins-Extracts/dp/B09XXP7GB6/ref=sr_1_13?crid=Y49REFIWQ1II&keywords=multivitamin+best+seller&qid=1672390347&sprefix=multivitamin+best%2Caps%2C343&sr=8-13,https://m.media-amazon.com/images/I/61CHvNsWpgL._AC_UL320_.jpg,Amazon
9,"Zingavita Multivitamin for Men | With 41 Vitamins, Omega 3 & Essential Blends for Energy, Immunity, Stamina & Recovery | 120 Veg Multivitamin Tablets | 1 Daily",420,53% off,₹899,127 ratings,4.2,https://www.amazon.in/Zingavita-Multivitamin-Men-combination-Essential/dp/B09XXLY1VF/ref=sr_1_14?crid=Y49REFIWQ1II&keywords=multivitamin+best+seller&qid=1672390347&sprefix=multivitamin+best%2Caps%2C343&sr=8-14,https://m.media-amazon.com/images/I/611lIKvfiNL._AC_UL320_.jpg,Amazon
